Concensus_peak,comp,group1,group2,histone_marker
CPS1,1,Uro-xxf,Uro-xxm,CTK4me1
CPS1,2,Uro-xxf,Uro-xyf,CTK4me1
CPS1,3,Uro-xxf,Uro-xym,CTK4me1
CPS1,4,Uro-xxm,Uro-xym,CTK4me1
CPS1,5,Uro-xyf,Uro-xxm,CTK4me1
CPS1,6,Uro-xyf,Uro-xym,CTK4me1
CPS2,7,Liv-xxf,Liv-xxm,CTK4me1
CPS2,8,Liv-xxf,Liv-xyf,CTK4me1
CPS2,9,Liv-xxf,Liv-xym,CTK4me1
CPS2,10,Liv-xxm,Liv-xym,CTK4me1
CPS2,11,Liv-xyf,Liv-xxm,CTK4me1
CPS2,12,Liv-xyf,Liv-xym,CTK4me1
CPS3,13,M-B-xxf,M-B-xxm,CTK4me1
CPS3,14,M-B-xxf,M-B-xyf,CTK4me1
CPS3,15,M-B-xxf,M-B-xym,CTK4me1
CPS3,16,M-B-xxm,M-B-xym,CTK4me1
CPS3,17,M-B-xyf,M-B-xxm,CTK4me1
CPS3,18,M-B-xyf,M-B-xym,CTK4me1
CPS4,19,L-B-xxf,L-B-xxm,CTK4me1
CPS4,20,L-B-xxf,L-B-xyf,CTK4me1
CPS4,21,L-B-xxf,L-B-xym,CTK4me1
CPS4,22,L-B-xxm,L-B-xym,CTK4me1
CPS4,23,L-B-xyf,L-B-xxm,CTK4me1
CPS4,24,L-B-xyf,L-B-xym,CTK4me1
CPS5,25,M-B-xxf,Uro-xxf,CTK4me1
CPS5,26,M-B-xxm,Uro-xxm,CTK4me1
CPS5,27,M-B-xyf,Uro-xyf,CTK4me1
CPS5,28,M-B-xym,Uro-xym,CTK4me1
CPS6,29,L-B-xxf,Liv-xxf,CTK4me1
CPS6,30,L-B-xxm,Liv-xxm,CTK4me1
CPS6,31,L-B-xyf,Liv-xyf,CTK4me1
CPS6,32,L-B-xym,Liv-xym,CTK4me1
CPS7,33,Mll3m4h-m,Wt-Mll3m4h-m,CTK4me1
CPS7,34,Mll3m4m-m,Wt-Mll3m4h-m,CTK4me1
CPS7,35,Mll3m4m-m,Mll3m4h-m,CTK4me1
CPS8,36,UAP-M-m,wt-M-UAP-m,CTK4me1
CPS8,37,UAP-M-B-f,M-B-xxf,CTK4me1
CPS8,38,UAP-M-B-f,UAP-M-m,CTK4me1
CPS9,39,WT-Uro-f-mtND6,WT-Uro-m-mtND6,CTK4me1
CPS9,40,mtND6-Uro-f,mtND6-Uro-m,CTK4me1
CPS9,41,mtND6-Uro-f,WT-Uro-f-mtND6,CTK4me1
CPS9,42,mtND6-Uro-m,WT-Uro-m-mtND6,CTK4me1
CPS10,43,WT-Liver-f-mtND6,WT-Liver-m-mtND6,CTK4me1
CPS10,44,mtND6-Liver-f,mtND6-Liver-m,CTK4me1
CPS10,45,mtND6-Liver-f,WT-Liver-f-mtND6,CTK4me1
CPS10,46,mtND6-Liver-m,WT-Liver-m-mtND6,CTK4me1
CPS11,47,WT-f,WT-m,CTK4me1
CPS11,48,WT-f,UtxKI-f,CTK4me1
CPS11,49,WT-m,UtxKI-m,CTK4me1
CPS11,50,UtxKI-f,UtxKI-m,CTK4me1
CPS11,51,WT-f;WT-m,UtxKI-f;UtxKI-m,CTK4me1
CPS12,52,Uro-xxf,Uro-xym,CTK4me1
CPS12,53,WT-Uro-f-mtND6,WT-Uro-m-mtND6,CTK4me1
CPS12,54,WT-f,WT-m,CTK4me1
CPS13,55,Uro-xxf,Uro-xxm,CTK4me1
CPS13,56,Uro-xxf,Uro-xyf,CTK4me1
CPS13,57,Uro-xxf,Uro-xym,CTK4me1
CPS13,58,Uro-xxm,Uro-xym,CTK4me1
CPS13,59,Uro-xyf,Uro-xxm,CTK4me1
CPS13,60,Uro-xyf,Uro-xym,CTK4me1
CPS13,61,Uro-xxf,Uro-xym,CTK4me1
CPS13,62,WT-Uro-f-mtND6,WT-Uro-m-mtND6,CTK4me1
CPS13,63,WT-f,WT-m,CTK4me1
